Entry ID,User_Type,Submitter
INC000000460009,Others,JAVIERS
INC000000459912,Others,MAGRACIA
INC000000459910,Others,MAGRACIA
INC000000459909,Others,REMADMIN
INC000000459746,Others,NOAHLAU
INC000000459744,Others,NOAHLAU
INC000000459743,Others,NOAHLAU
INC000000459696,Others,NOAHLAU
INC000000459742,Others,LEEMWM
INC000000459741,Others,LEEMWM
INC000000459695,Others,NOAHLAU
INC000000459740,Others,LEEMWM
INC000000459739,Others,LEEMWM
INC000000459694,VIP,NOAHLAU
INC000000459738,Others,NOAHLAU
INC000000459687,Others,NOAHLAU
INC000000459682,Others,LEEMWM
INC000000459736,Others,LEEMWM
INC000000459733,Others,LEEMWM
INC000000459681,Others,SAMMYCHS
INC000000459679,Others,NOAHLAU
INC000000459680,Others,ALEXCCK
INC000000459726,Others,NOAHLAU
INC000000459723,VVIP,LEEMWM
INC000000459722,Others,LEEMWM
INC000000459663,Others,KENTCHEE
INC000000459718,Others,LRXCHONG
INC000000459655,VIP,STEPHENIE
INC000000459716,Others,STEPHENIE
INC000000459714,Others,KENTCHEE
INC000000459651,Others,STEPHENIE
INC000000459713,VVIP,LEEMWM
INC000000459648,Others,KENTCHEE
INC000000459711,Others,ALEXCCK
INC000000459709,Others,KENTCHEE
INC000000459705,Others,KINMNG
INC000000459704,Others,LRXCHONG
INC000000459699,Others,LRXCHONG
INC000000459700,Others,LEEMWM
INC000000459745,Others,NOAHLAU
INC000000459693,Others,LEEMWM
INC000000459692,Others,LEEMWM
INC000000459691,VIP,LEEMWM
INC000000459690,Others,LEEMWM
INC000000459689,VIP,NOAHLAU
INC000000459688,Others,LEEMWM
INC000000459737,VIP,LEEMWM
INC000000459686,Others,NOAHLAU
INC000000459685,Others,LEEMWM
INC000000459684,Others,LEEMWM
INC000000459683,Others,LEEMWM
INC000000459735,Others,NOAHLAU
INC000000459731,Others,KENTCHEE
INC000000459730,Others,NOAHLAU
INC000000459729,VIP,LEEMWM
INC000000459725,VVIP,NOAHLAU
INC000000459724,Others,NOAHLAU
INC000000459674,Others,Remedy Application Service
INC000000459677,Others,NOAHLAU
INC000000459671,VIP,STEPHENIE
INC000000459670,Others,NOAHLAU
INC000000459665,Others,STEPHENIE
INC000000459662,VIP,STEPHENIE
INC000000459660,Others,LRXCHONG
INC000000459658,Others,STEPHENIE
INC000000459659,VIP,ALEXCCK
INC000000459654,Others,JWSLAI
INC000000459653,Others,LEEMWM
INC000000459650,Others,STEPHENIE
INC000000459712,Others,STEPHENIE
INC000000459710,Others,STEPHENIE
INC000000459647,Others,Remedy Application Service
INC000000459645,,KENTCHEE
INC000000459646,Others,STEPHENIE
INC000000459644,Others,STEPHENIE
INC000000459637,Others,Remedy Application Service
INC000000459638,Others,NOAHLAU
INC000000459636,Others,Remedy Application Service
INC000000459641,Others,LEEMWM
INC000000459631,Others,NOAHLAU
INC000000459601,Others,LEEMWM
INC000000459600,VIP,KENTCHEE
INC000000459623,Others,Remedy Application Service
INC000000459594,Others,RICHARDM
INC000000459602,Others,NOAHLAU
INC000000459595,Others,KENTCHEE
INC000000459608,Others,KENTCHEE
INC000000459639,Others,STEPHENIE
INC000000459640,Others,KENTCHEE
INC000000459605,Others,YYWANG
INC000000459606,Others,STEPHENIE
INC000000459604,Others,JWSLAI
INC000000459635,Others,MCFYIU
INC000000459633,Others,MCFYIU
INC000000459603,Others,LEEMWM
INC000000459632,Others,JWSLAI
INC000000459661,Others,STEPHENIE
INC000000459596,VIP,LEEMWM
INC000000459591,Others,OPERATOR
INC000000459618,Others,RPYLAI
INC000000459589,Others,RPYLAI
INC000000459586,Others,CKLKEN
INC000000459616,Others,ALEXCCK
INC000000459583,Others,CKLKEN
INC000000459610,Others,STEPHENIE
INC000000459609,Others,STEPHENIE
INC000000459575,Others,JWSLAI
INC000000459504,Others,ALEXCCK
INC000000459502,Others,KENTCHEE
INC000000459568,Others,NOAHLAU
INC000000459566,Others,LEEMWM
INC000000459565,Others,STEPHENIE
INC000000459563,Others,ALEXCCK
INC000000459562,Others,AKWSO
INC000000459560,Others,STEPHENIE
INC000000459499,Others,CKLKEN
INC000000459556,Others,OPERATOR
INC000000459553,Others,ALEXCCK
INC000000459619,Others,Remedy Application Service
INC000000459590,Others,OPERATOR
INC000000459588,VVIP,RPYLAI
INC000000459585,,CKLKEN
INC000000459614,Others,Remedy Application Service
INC000000459611,Others,NOAHLAU
INC000000459503,Others,CKLKEN
INC000000459572,VIP,JWSLAI
INC000000459501,VIP,NOAHLAU
INC000000459495,Others,STEPHENIE
INC000000459497,Others,Z104318
INC000000459492,Others,OPERATOR
INC000000459548,Others,JWSLAI
INC000000459478,Others,WONGSUN
INC000000459475,Others,STEPHENIE
INC000000459477,Others,NOAHLAU
INC000000459472,Others,LRXCHONG
INC000000459471,Others,KENTCHEE
INC000000459541,Others,NOAHLAU
INC000000459525,Others,WINFZHU
INC000000459520,Others,SAMMYCHS
INC000000459460,Others,LEEMWM
INC000000459551,Others,ALEXCCK
INC000000459480,Others,JWSLAI
INC000000459534,Others,DALEHO
INC000000459533,Others,STEPHENIE
INC000000459530,Others,ALEXCCK
INC000000459528,Others,STEPHENIE
INC000000459463,Others,LEEMWM
INC000000459521,Others,STEPHENIE
INC000000459402,Others,CKLKEN
INC000000459401,Others,CKLKEN
INC000000459436,Others,NOAHLAU
INC000000459431,Others,NOAHLAU
INC000000459426,Others,LEEMWM
INC000000459386,Others,KENTCHEE
INC000000459382,Others,STEPHENIE
INC000000459383,VVIP,NOAHLAU
INC000000459425,Others,STEPHENIE
INC000000459419,Others,KENTCHEE
INC000000459372,Others,LEEMWM
INC000000459415,Others,OPERATOR
INC000000459370,Others,LEEMWM
INC000000459369,Others,PKMCHEUNG
INC000000459407,Others,OPERATOR
INC000000459447,Others,Remedy Application Service
INC000000459442,Others,WONGSUN
INC000000459400,,CKLKEN
INC000000459399,Others,LRXCHONG
INC000000459441,Others,CKLKEN
INC000000459440,Others,STEPHENIE
INC000000459437,Others,CKLKEN
INC000000459434,VIP,Remedy Application Service
INC000000459380,VIP,NOAHLAU
INC000000459423,Others,STEPHENIE
INC000000459410,VIP,ALEXCCK
INC000000459302,Others,STEPHENIE
INC000000459300,Others,JWSLAI
INC000000459353,Others,JWSLAI
INC000000459340,Others,JWSLAI
INC000000459296,Others,LEEMWM
INC000000459327,Others,STEPHENIE
INC000000459375,Others,WACKOC
INC000000459364,VIP,RICHARDM
INC000000459305,Others,NOAHLAU
INC000000459346,VIP,LRXCHONG
INC000000459295,Others,STEPHENIE
INC000000459330,Others,WACKOC
INC000000459290,Others,ALEXCCK
INC000000459324,Others,LRXCHONG
INC000000459287,Others,LEEMWM
INC000000459321,Others,OPERATOR
INC000000459285,Others,STEPHENIE
INC000000459317,Others,KENTCHEE
INC000000459311,VIP,Remedy Application Service
INC000000459312,Others,ALEXCCK
INC000000459199,Others,RPYLAI
INC000000459198,Others,RPYLAI
INC000000459196,Others,RPYLAI
INC000000459326,VVIP,NOAHLAU
INC000000459322,Others,WACKOC
INC000000459284,VIP,LEEMWM
INC000000459282,VVIP,LRXCHONG
INC000000459276,Others,STEPHENIE
INC000000459267,Others,RPYLAI
INC000000459265,Others,RPYLAI
INC000000459264,Others,RPYLAI
INC000000459261,Others,RPYLAI
INC000000459257,Others,Remedy Application Service
INC000000459180,Others,JWSLAI
INC000000459233,VIP,WACKOC
INC000000459232,VIP,WACKOC
INC000000459227,Others,Remedy Application Service
INC000000459166,Others,NOAHLAU
INC000000459222,Others,LRXCHONG
INC000000459190,Others,STEPHENIE
INC000000459239,Others,JWSLAI
INC000000459238,Others,STEPHENIE
INC000000459171,Others,KENTCHEE
INC000000459221,Others,WACKOC
INC000000459150,VIP,STEPHENIE
INC000000459138,Others,NOAHLAU
INC000000459133,Others,TSEERIYL
INC000000459147,Others,LRXCHONG
